文件路径,行号,规则,描述,状态
lib/PTO/Transforms/PTORemoveRedundantBarrier.cpp,125,huge_cyclomatic_complexity,runOnOperation() cc=27>20,已修复(cc~10:OpPipeTable+规则函数提取)
lib/PTO/Transforms/PTORemoveRedundantBarrier.cpp,125,huge_method,runOnOperation() nbnc=110>50,已修复(44:三lambda提为文件级函数+isRedundantBarrier规则)
tools/ptoas/ptoas_pipeline.cpp,1416,huge_cyclomatic_complexity,runMainLoweringPipeline() cc=22>20,已修复(populateMainLoweringPasses+finishVPTOMainPipeline 提取)
tools/ptoas/ptoas_pipeline.cpp,1416,huge_method,runMainLoweringPipeline() nbnc=99>50,已修复(39)
lib/Bindings/Python/PTOModule.cpp,128,huge_cyclomatic_complexity,populatePTODialectBindings() cc=93>20,已修复(拆为6个语义子函数+8行编排器)
lib/Bindings/Python/PTOModule.cpp,128,huge_method,populatePTODialectBindings() nbnc=1309>50,已修复(主函数9;子函数为声明式pybind注册块)
lib/PTO/Transforms/PTOMaterializeTileOpSections.cpp,536,huge_cyclomatic_complexity,inferTileOpKind() cc=26>20,已修复(classifyTileOpHelperOperation 提取)
lib/PTO/Transforms/PTOMaterializeTileOpSections.cpp,536,huge_method,inferTileOpKind() nbnc=77>50,已修复(28)
lib/PTO/Transforms/VPTOStatefulStreamFusion.cpp,341,huge_cyclomatic_complexity,getLoopAddressCoefficient() cc=27>20,已修复(computeCoefficientFromDef 提取)
lib/PTO/Transforms/VPTOStatefulStreamFusion.cpp,341,huge_method,getLoopAddressCoefficient() nbnc=61>50,已修复(22)
lib/PTO/Transforms/VPTOStatefulStreamFusion.cpp,50,huge_method,parseStatefulStoreStream() nbnc=52>50,已修复(45:isValidStreamFlush 提取)
lib/PTO/Transforms/PTOValidateVMIIR.cpp,564,huge_cyclomatic_complexity,verifyLayoutSemanticSupport() cc=55>20,已修复(主干先前重构已拆为15行分发器;本轮将衍生的 GroupReduction 51行表驱动化)
lib/PTO/Transforms/PTOValidateVMIIR.cpp,564,huge_method,verifyLayoutSemanticSupport() nbnc=223>50,"已修复(同上,现21)"
lib/PTO/Transforms/InsertSync/MemoryDependentAnalyzer.cpp,182,huge_cyclomatic_complexity,MemAlias() cc=32>20,已修复(isLocalBufferAlias+rangesOverlapOrUnknown 提取)
lib/PTO/Transforms/InsertSync/MemoryDependentAnalyzer.cpp,182,huge_method,MemAlias() nbnc=75>50,已修复(28)
lib/PTO/Transforms/InsertSync/SyncMacroModel.cpp,296,huge_method,getMGatherSyncMacroModel() nbnc=89>50,已修复(21:四分支提为 build*Model)
lib/PTO/Transforms/InsertSync/SyncMacroModel.cpp,96,huge_method,getCollectiveCommSyncMacroModel() nbnc=53>50,已修复(38:addPingPongStagingPhases+addTReducePhases)
lib/PTO/Transforms/PTOResolveBufferSelect.cpp,80,huge_cyclomatic_complexity,getTilePointerStrides() cc=21>20,已修复(getFractalInnerDims 提取)
lib/PTO/Transforms/PTOResolveBufferSelect.cpp,80,huge_method,getTilePointerStrides() nbnc=59>50,已修复(32)
lib/PTO/Transforms/PTOExpandSoftLib.cpp,110,huge_method,materializeCall() nbnc=80>50,已修复(46:cloneRenamedSoftLibFunctions+replaceWithSoftLibCall)
lib/PTO/Transforms/PTOExpandSoftLib.cpp,223,huge_method,PTOExpandSoftLibPass::runOnOperation() nbnc=72>50,已修复(50:isSupportedIntegerVdiv 提取)
